pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
773374,59,32851.66,1951,8,2
773805,1217,37641.65,1964,8,2
773789,729,30612.47,1990,8,2
773408,21,27643.98,2107,8,2
773790,129,41490.98,2471,8,2
773786,238,63427.32,2534,8,2
773784,1305,52589.38,4145,8,2
773871,1406,63386.58,4174,8,2
773546,329,48102.38,4693,9,4
773929,1479,1475.6,14,9,4
773855,932,1198.41,20,9,4
773851,593,1731.85,22,9,4
773794,1186,2986.83,41,9,4
773883,4,1830.12,55,9,4
773808,1192,1209.43,57,9,4
773860,1635,1763.39,59,9,4
773858,906,1407.11,60,9,4
773832,1192,1200.32,60,9,4
773895,1306,2013.03,67,9,4
773861,328,1918.27,82,9,4
773850,8,2324.82,87,9,4
773780,1654,2183.21,94,9,4
773894,1306,3565.35,111,9,4
773856,103,1377.71,112,9,4
773862,37,3110.53,133,9,4
773847,686,2107.63,140,9,4
773852,1162,1836.31,150,9,4
773779,1515,1717.39,150,9,4
773848,538,2722.39,161,9,4
773849,321,3538.06,172,9,4
773806,487,4664.94,261,9,4
773807,728,5403.71,326,9,4
774122,609,4992.9,477,9,4
774118,293,9565.39,522,9,4
774121,172,11602.2,618,9,4
774099,579,14789.88,956,9,4
774140,416,17669.03,1050,9,4
774113,684,39681.62,1835,9,4
774102,579,42008.69,2768,9,4
774100,30,69226.05,3178,9,4
773884,897,1199.65,17,9,4
774115,8,2819.5,20,9,4
773816,481,1449.85,33,9,4
774111,199,3273.37,34,9,4
773828,307,2532.46,35,9,4
774112,337,1255.03,38,9,4
773827,844,1704.74,47,9,4
774146,1465,1270.49,47,9,4
773825,1192,1473.54,48,9,4
774148,830,1424.92,49,9,4
773817,1192,1445.41,49,9,4
773854,8,1761.82,53,9,4
773859,305,2510.56,53,9,4
773857,21,1269.17,54,9,4
773842,1210,1925.2,58,9,4
773831,307,2818.86,60,9,4
773821,382,1415.42,63,9,4
773839,227,3853.23,73,9,4
773829,227,1520.84,79,9,4
773820,1192,1819.07,83,9,4
773815,1510,8235.31,130,9,4
774130,1192,2029.26,143,9,4
773814,227,2213.65,148,9,4
773833,1510,5189.21,153,9,4
773811,1210,4413.54,179,9,4
773373,1192,7956.73,182,9,4
773840,851,4014.75,195,9,4
773838,172,3858.07,209,9,4
773835,808,6837.22,214,9,4
773819,1510,4315.26,231,9,4
773810,893,5985.1,232,9,4
773830,481,7287.74,260,9,4
774129,154,10750.35,338,9,4
773824,844,9553.71,342,9,4
774125,814,5044.78,374,9,4
773809,382,8040.99,381,9,4
773823,307,6542.82,394,9,4
773841,432,10983.51,498,9,4
773818,397,10331.64,515,9,4
773802,1303,13252.57,616,9,4
774145,1229,8823.21,672,9,4
773798,1303,13361.79,740,9,4
773826,1419,16629.99,847,9,4
773837,1634,17376.39,878,9,4
773836,168,20222.18,893,9,4
774147,676,17663.37,895,9,4
773813,897,19024.96,931,9,4
774143,315,12940.8,988,9,4
773812,851,19683.05,1125,9,4
773822,1306,26407.71,1556,9,4
773804,605,24838.11,1651,9,4
774317,617,12.63,1,9,4
774307,317,56.85,7,9,4
774139,199,2200.01,24,9,4
774132,432,1659.75,30,9,4
773853,870,1267.37,31,9,4
774151,615,1290.04,41,9,4
774150,615,1276.01,43,9,4
774191,615,2231.76,48,9,4
774107,544,1729.3,52,9,4
774124,37,2004.42,53,9,4
773502,148,1818.43,55,9,4
773874,291,1479.76,60,9,4
774119,467,1383.42,61,9,4
774141,1192,1802.9,70,9,4
773424,89,1813.56,71,9,4
773441,615,2071.56,71,9,4
774144,830,2356.81,74,9,4
774117,328,1482.28,83,9,4
774137,213,1546.89,84,9,4
774114,240,2802.19,87,9,4
773459,89,2429.09,89,9,4
774116,129,1264.44,89,9,4
774190,1332,1827.42,91,9,4
774104,487,2376.6,98,9,4
774133,615,1472.17,110,9,4
773469,870,2276.99,111,9,4
773470,502,3488.48,114,9,4
774109,213,1692.41,129,9,4
773887,957,1961.94,136,9,4
774106,199,2106.41,139,9,4
773433,89,5223.97,158,9,4
773447,1636,4086.39,162,9,4
773425,301,3864.09,166,9,4
774131,1306,3489.96,168,9,4
774108,213,3223.47,174,9,4
774105,293,4818.59,176,9,4
774192,615,3024.04,191,9,4
773873,291,2215.09,192,9,4
774136,238,4653.04,206,9,4
773426,912,8078.86,234,9,4
774123,514,3393.99,246,9,4
774128,234,4872.75,256,9,4
773869,317,4237.38,298,9,4
773879,566,8467.93,370,9,4
774127,613,9477.37,468,9,4
773886,1332,8715.73,504,9,4
774188,419,9187.82,544,9,4
773889,615,7281.34,551,9,4
773870,317,14541.58,586,9,4
774134,738,12628.24,611,9,4
773888,329,11763.3,625,9,4
773878,944,12985.67,739,9,4
773872,291,11521.34,863,9,4
774126,1187,20913.82,898,9,4
774098,1522,7511.48,917,9,4
774180,662,15560.44,992,9,4
773867,317,22743.7,1146,9,4
774101,1522,12450.78,1499,9,4
773885,615,38122.61,2081,9,4
773868,317,39700.8,2472,9,4
774377,1618,51658.11,3002,9,4
774189,957,62293.15,3501,9,4
774513,1262,1286.28,13,9,4
774549,593,1630.25,17,9,4
774572,430,1835.51,18,9,4
774570,36,1845.08,21,9,4
774503,432,1401.57,21,9,4
774566,183,1576.09,22,9,4
774505,851,1793.03,23,9,4
774558,1479,1285.81,24,9,4
774486,1210,1932.44,25,9,4
774553,206,1570.4,26,9,4
774575,679,1187.21,26,9,4
774491,432,1344.34,27,9,4
774488,11,1335.01,29,9,4
774536,1210,1824.99,31,9,4
774534,851,1219.79,33,9,4
774480,738,2602.19,35,9,4
774543,593,1917.45,36,9,4
774476,676,1300.34,37,9,4
774487,756,1326.11,38,9,4
774541,453,1692.36,38,9,4
774450,1306,1776.66,39,9,4
774532,8,2565.33,39,9,4
774524,8,2002.59,40,9,4
774551,1428,1204.38,40,9,4
774544,129,3152.01,41,9,4
774555,556,1216.32,47,9,4
774489,579,1213.75,48,9,4
774546,37,1214.13,50,9,4
774561,199,1245.78,50,9,4
774542,684,1465.75,50,9,4
774314,1278,2370.0,50,9,4
774560,613,1250.64,53,9,4
774563,102,1397.11,54,9,4
774564,1152,1444.83,54,9,4
774539,729,3143.73,55,9,4
774548,556,2513.29,56,9,4
774519,59,2961.8,58,9,4
774569,581,1698.19,61,9,4
774493,66,2064.84,63,9,4
774451,1306,1255.97,69,9,4
774521,841,1562.82,73,9,4
774303,317,2416.69,73,9,4
774509,851,1210.23,74,9,4
774463,140,5045.89,75,9,4
774565,377,1476.64,75,9,4
774571,397,2691.3,77,9,4
774531,851,2084.97,79,9,4
774508,825,1308.33,80,9,4
774507,432,2263.66,82,9,4
774595,1511,6789.13,83,9,4
774494,851,1444.6,83,9,4
774309,317,1999.83,83,9,4
774533,432,4150.42,87,9,4
774550,1453,3106.77,87,9,4
774576,609,1632.35,89,9,4
774568,1385,2006.25,91,9,4
774573,1216,1420.12,92,9,4
773866,584,1901.3,93,9,4
774499,8,3140.26,94,9,4
774511,59,2408.35,94,9,4
774547,686,1619.11,95,9,4
774462,676,1533.14,96,9,4
774567,729,5345.99,98,9,4
774554,186,4528.33,99,9,4
774557,173,1544.14,99,9,4
774552,183,2123.88,101,9,4
774516,579,1848.26,103,9,4
774545,234,4097.93,104,9,4
774475,238,3359.43,111,9,4
