NotaFiscal	DataEmissao	Peso	ValorNFs	TranspRedespacho
776776	21/09/2017	193	2677.54	700
776753	21/09/2017	82	1796.58	784
776772	21/09/2017	481	7746.19	1588
776814	21/09/2017	2440	49505.06	1506
776731	21/09/2017	2229	55797.29	122
776749	21/09/2017	1161	24893.92	154
776734	21/09/2017	45	1348.83	1306
776733	21/09/2017	2195	16994.35	1306
776730	21/09/2017	1945	36219.12	1325
776732	21/09/2017	3621	64755.24	1325
776808	21/09/2017	2563	36661.24	110
776809	21/09/2017	4910	49886.42	110
776810	21/09/2017	4932	65042.63	110
777027	21/09/2017	152	1248.67	966
777013	21/09/2017	773	6156.42	1612
776743	21/09/2017	1165	17944.9	579
776849	21/09/2017	2349	41099.09	1657
776778	21/09/2017	34	2094.68	8
776774	21/09/2017	77	1966.12	11
776751	21/09/2017	224	2867.56	36
776752	21/09/2017	79	1414.34	66
776738	21/09/2017	703	13073.59	89
776777	21/09/2017	457	9370.78	102
776775	21/09/2017	81	1595.44	234
776742	21/09/2017	342	8091.5	238
776782	21/09/2017	286	7901.02	307
776768	21/09/2017	286	7576.7	307
776759	21/09/2017	195	2517.81	321
776783	21/09/2017	167	5979.14	416
776739	21/09/2017	1123	18181.95	478
776744	21/09/2017	94	2403.34	478
776760	21/09/2017	162	2950.43	496
776764	21/09/2017	32	1621.74	520
776769	21/09/2017	395	5625.07	541
776747	21/09/2017	21	1475.6	556
776740	21/09/2017	987	17526.86	609
776741	21/09/2017	72	2166.13	609
776745	21/09/2017	750	12059.11	609
776773	21/09/2017	265	4545.28	729
776767	21/09/2017	232	5340.46	897
776737	21/09/2017	660	13181.27	932
776761	21/09/2017	70	1639.39	1152
776779	21/09/2017	539	6649.26	1170
776762	21/09/2017	44	1142.84	1192
776781	21/09/2017	55	1807.07	1192
776754	21/09/2017	105	2920.19	1216
776785	21/09/2017	106	3188.76	1274
776770	21/09/2017	123	1560.21	1354
776771	21/09/2017	43	1820.25	1385
776756	21/09/2017	31	1883.43	1524
776727	21/09/2017	79	1876.47	1654
777039	22/09/2017	5215	36755.87	666
776972	22/09/2017	130	3909.04	666
776970	22/09/2017	5777	41087.31	833
776971	22/09/2017	2211	16177.08	833
776978	22/09/2017	529	9647.42	8
776974	22/09/2017	899	17201.66	8
776980	22/09/2017	1199	20333.62	8
776977	22/09/2017	1946	27728.15	591
776981	22/09/2017	1709	32498.37	591
776975	22/09/2017	1788	27974.5	1262
776976	22/09/2017	2387	48658.45	1262
776979	22/09/2017	393	9123.04	1262
776963	22/09/2017	1347	27565.07	1654
776962	22/09/2017	979	13134.56	379
776267	22/09/2017	50	3197.46	4
775866	20/09/2017	326	6402.69	617
775867	20/09/2017	115	1605.16	617
775863	21/09/2017	39	2664.48	1007
777012	22/09/2017	632	7647.43	11
776997	22/09/2017	309	4010.28	102
777015	22/09/2017	271	12067.04	206
777018	22/09/2017	607	11858.47	227
777005	22/09/2017	164	4002.89	288
776998	22/09/2017	82	6456.11	305
777004	22/09/2017	72	2572.07	315
777010	22/09/2017	145	2653.74	325
777009	22/09/2017	370	9914.43	487
776990	22/09/2017	85	2263.47	496
777025	22/09/2017	238	2213.46	572
777031	22/09/2017	54	1275.77	579
776999	22/09/2017	1198	21149.96	593
777030	22/09/2017	494	4883.05	593
777008	22/09/2017	156	1229.89	615
776988	22/09/2017	128	3724.42	738
777001	22/09/2017	175	3851.4	851
777014	22/09/2017	187	1835.96	870
777026	22/09/2017	229	6097.06	1112
777023	22/09/2017	54	1478.14	1306
777020	22/09/2017	181	3979.48	1328
776994	22/09/2017	78	1207.38	1328
777006	22/09/2017	240	5324.66	1328
777011	22/09/2017	60	1519.54	1328
777007	22/09/2017	732	11230.11	1348
777019	22/09/2017	120	1300.7	1413
776786	22/09/2017	188	7206.04	1450
777000	22/09/2017	196	3119.64	1498
776991	22/09/2017	403	4551.34	1522
777021	22/09/2017	77	2241.17	1542
777003	22/09/2017	96	1492.89	1545
