NotaFiscal	DataEmissao	Peso	ValorNFs	TranspRedespacho
795140	22/11/2017	82	2137.46	325
795181	22/11/2017	125	2975.89	344
795163	22/11/2017	214	2379.76	413
795178	22/11/2017	76	1657.23	430
796078	22/11/2017	83	1373.13	481
795149	22/11/2017	140	2774.31	591
795182	22/11/2017	160	2309.13	593
795146	22/11/2017	91	1896.75	615
795176	22/11/2017	101	1405.53	653
795180	22/11/2017	101	1223.17	686
795156	22/11/2017	37	1651.81	750
795158	22/11/2017	112	1950.27	750
795135	22/11/2017	123	2050.54	750
795172	22/11/2017	82	1692.59	793
795154	22/11/2017	135	2643.92	859
795165	22/11/2017	70	1779.86	859
796000	22/11/2017	613	9411.13	904
795145	22/11/2017	71	2136.8	966
795143	22/11/2017	142	3419.58	1147
795141	22/11/2017	114	2004.42	1192
795166	22/11/2017	125	2427.24	1192
795177	22/11/2017	59	1309.42	1217
795174	22/11/2017	97	1377.73	1271
796003	22/11/2017	843	12684.5	1303
796022	22/11/2017	887	14312.44	1385
795153	22/11/2017	155	3016.68	1412
795160	22/11/2017	115	1529.37	1413
795150	22/11/2017	39	1305.47	1419
795147	22/11/2017	132	3796.05	1453
795138	22/11/2017	222	3709	1492
794891	22/11/2017	652	14026.94	1515
794892	22/11/2017	690	14411.72	1515
794890	22/11/2017	442	8345.25	1515
794895	22/11/2017	53	1424.71	1515
795137	22/11/2017	99	1813.25	1534
795148	22/11/2017	50	1325.53	1542
795152	22/11/2017	180	4412.36	1542
795998	22/11/2017	304	4351.44	1558
794893	22/11/2017	36	1838	1615
795168	22/11/2017	46	1408.61	1634
795142	22/11/2017	124	2157.95	1634
795162	22/11/2017	68	1805.15	1634
794896	22/11/2017	118	1894.83	1654
794894	22/11/2017	105	1801.49	1654
795173	22/11/2017	80	1545.62	1662
796027	22/11/2017	90	1506.11	8
795992	22/11/2017	116	2593.55	8
795993	22/11/2017	710	11094.07	66
796034	22/11/2017	146	2021.55	89
796046	22/11/2017	188	2770.8	89
796072	22/11/2017	103	1482.07	122
796624	22/11/2017	233	3822.99	128
796630	22/11/2017	105	1317.51	128
796038	22/11/2017	74	1285.64	129
796076	22/11/2017	62	1312.43	139
796010	22/11/2017	445	7032.83	172
796124	22/11/2017	462	10753.33	199
796051	22/11/2017	194	2022.57	305
796009	22/11/2017	185	3287.16	307
796073	22/11/2017	254	4874.95	382
796067	22/11/2017	53	1431.15	419
796014	22/11/2017	409	9984.44	432
796700	22/11/2017	135	2607.3	470
795983	22/11/2017	313	6038.76	481
796127	22/11/2017	1017	20941.37	520
796015	22/11/2017	155	2981.29	530
795997	22/11/2017	145	2391.03	530
796065	22/11/2017	94	1519.6	605
796028	22/11/2017	162	2631.09	609
796055	22/11/2017	107	1825.58	728
796054	22/11/2017	69	1410.63	735
796035	22/11/2017	61	1220.88	756
796651	22/11/2017	83	1231.4	844
796657	22/11/2017	157	3206.06	851
796066	22/11/2017	225	4594.19	1170
796048	22/11/2017	264	3710.24	1187
796064	22/11/2017	121	1603.89	1196
796049	22/11/2017	327	4509.72	1196
796707	22/11/2017	110	2268.07	1197
796030	22/11/2017	79	1399.71	1210
796024	22/11/2017	186	2239.48	1214
796025	22/11/2017	103	1626.96	1214
796011	22/11/2017	215	3085.4	1214
796075	22/11/2017	193	4450.49	1247
796695	22/11/2017	409	7220.58	1282
796683	22/11/2017	100	1825.57	1354
796058	22/11/2017	169	2547.51	1364
796061	22/11/2017	125	2481.69	1380
796004	22/11/2017	186	2779.49	1385
796013	22/11/2017	679	9264.71	1614
796018	22/11/2017	358	5976.95	1614
795527	22/11/2017	242	4646.35	1306
795944	22/11/2017	661	13293.2	492
795951	22/11/2017	415	8831.3	492
795943	22/11/2017	543	10540.97	492
795946	22/11/2017	381	5983.64	492
795184	22/11/2017	51	3878.82	520
795185	22/11/2017	89	2576.58	813
795183	22/11/2017	150	1983.63	833
796118	22/11/2017	456	9649.93	957
796094	22/11/2017	782	10017.3	1411
791999	16/11/2017	760	7474.98	845
789213	09/11/2017	794	9493.4	1260
796045	22/11/2017	57	1389.24	37
796069	22/11/2017	126	2351.54	59
796060	22/11/2017	206	3212.6	102
796050	22/11/2017	79	4906.99	103
796032	22/11/2017	63	1553.72	128
796053	22/11/2017	228	3235.71	171
796070	22/11/2017	22	1344.74	227
796052	22/11/2017	277	3727.09	227
796047	22/11/2017	427	7781.87	238
796057	22/11/2017	253	4357.41	243
796029	22/11/2017	34	1273.02	315
796037	22/11/2017	154	2700.19	391
